component	pypi_package	version	wheel_subdir	extract	linux_only
runtime	nvidia_cuda_runtime_cu12	12.8.90	cuda_runtime	lib,include	no
cublas	nvidia_cublas_cu12	12.8.4.1	cublas	lib,include	no
cupti	nvidia_cuda_cupti_cu12	12.8.90	cuda_cupti	lib,include	no
nvrtc	nvidia_cuda_nvrtc_cu12	12.8.93	cuda_nvrtc	lib,include	no
cufft	nvidia_cufft_cu12	11.3.3.83	cufft	lib,include	no
cusolver	nvidia_cusolver_cu12	11.7.3.90	cusolver	lib,include	no
cusparse	nvidia_cusparse_cu12	12.5.8.93	cusparse	lib,include	no
nvjitlink	nvidia_nvjitlink_cu12	12.8.93	nvjitlink	lib,include	no
curand	nvidia_curand_cu12	10.3.9.90	curand	lib,include	no
nvcc	nvidia_cuda_nvcc_cu12	12.8.93	cuda_nvcc	bin,include,nvvm	no
cufile	nvidia_cufile_cu12	1.13.1.3	cufile	lib,include	yes
cudnn	nvidia_cudnn_cu12	9.8.0.87	cudnn	lib,include	no
nccl	nvidia_nccl_cu12	2.29.7	nccl	lib,include	yes
nvshmem	nvidia_nvshmem_cu12	3.4.5	nvshmem	lib,include	yes
